backprop_matlab,backprop_mc2mc,backprop_mc2mc_selective,crni_matlab,crni_mc2mc,crni_mc2mc_selective,fft_matlab,fft_mc2mc,fft_mc2mc_selective,nw_matlab,nw_mc2mc,nw_mc2mc_selective,pagerank_matlab,pagerank_mc2mc,pagerank_mc2mc_selective
2.5027,3.096,1.3615,3.0572,3.7629,2.2705,1.001863,1.45536,0.921219,1.590204,1.711039,1.561381,1.279378,1.461799,0.832703
2.5037,3.1046,1.3615,3.0698,3.7714,2.2938,0.988374,1.46166,0.915125,1.592257,1.715438,1.561402,1.281869,1.503857,0.863229
2.5015,3.0941,1.353,3.0721,3.7519,2.3202,0.911454,1.443294,0.923838,1.588657,1.712829,1.564278,1.274135,1.465923,0.839501
2.5031,3.0912,1.358,3.0686,3.7763,2.2848,0.903769,1.465865,0.921184,1.591071,1.716558,1.56384,1.278388,1.471783,0.862153
2.4995,3.0993,1.3567,3.0627,3.7538,2.28,0.906908,1.448568,0.919602,1.590673,1.714959,1.566664,1.270409,1.472022,0.859852
2.5011,3.0947,1.3555,3.0646,3.7585,2.2748,0.922593,1.454002,0.918211,1.588638,1.713266,1.564383,1.26305,1.467294,0.859148
2.5139,3.1026,1.3589,3.0722,3.7641,2.283,0.93779,1.491061,0.929405,1.587512,1.715029,1.562114,1.27187,1.480381,0.834183
2.5101,3.0953,1.3572,3.0681,3.7624,2.3236,0.932249,1.443182,0.945623,1.589925,1.717738,1.56361,1.269375,1.48947,0.856725
2.5017,3.0944,1.36,3.0609,3.7609,2.2727,0.92235,1.451254,0.914147,1.591252,1.718299,1.564059,1.294869,1.470603,0.846982
2.5001,3.1069,1.3589,3.0683,3.7586,2.3021,0.911095,1.473004,1.02223,1.586673,1.714478,1.561456,1.278012,1.487038,0.840328
2.4995,3.1,1.3578,3.0687,3.7549,2.2788,0.923332,1.479643,0.897091,1.591757,1.713037,1.56058,1.272057,1.476502,0.86623
2.5054,3.1036,1.3601,3.0644,3.7532,2.308,0.914988,1.441529,0.918786,1.590217,1.714662,1.564411,1.264883,1.481598,0.83414
2.5015,3.0934,1.3538,3.0764,3.764,2.2989,0.903692,1.461996,0.920153,1.597455,1.710753,1.566415,1.272142,1.488311,0.848384
2.5008,3.0962,1.3587,3.0583,3.7565,2.2817,0.92045,1.443647,0.946191,1.591149,1.714017,1.565362,1.278139,1.499745,0.861462
2.5035,3.0984,1.3562,3.0721,3.7622,2.2754,0.93005,1.491185,0.926659,1.591894,1.712608,1.565109,1.274656,1.478363,0.855761
2.5003,3.0926,1.3569,3.0985,3.7519,2.3045,0.916124,1.463336,0.951499,1.585126,1.711493,1.562352,1.279946,1.482549,0.839595
2.5023,3.109,1.3555,3.0664,3.7535,2.285,0.93455,1.566194,0.916073,1.589481,1.715994,1.563426,1.276781,1.458359,0.859158
2.5011,3.0959,1.3532,3.064,3.7443,2.2593,0.915717,1.463914,0.904184,1.592285,1.715445,1.564723,1.279245,1.469328,0.85524
2.5004,3.0955,1.3549,3.0601,3.7579,2.2755,0.912274,1.457988,0.919506,1.590533,1.711872,1.562755,1.279046,1.474332,0.861007
2.5016,3.1041,1.3568,3.0601,3.7723,2.3416,0.917222,1.50045,0.982872,1.601471,1.713828,1.562177,1.276502,1.511671,0.859841
2.5027,3.0985,1.3551,3.0683,3.7715,2.2719,0.908018,1.433586,0.927547,1.586596,1.713393,1.563551,1.268651,1.472812,0.841154
2.5045,3.099,1.3584,3.0634,3.7585,2.267,0.921155,1.444684,0.909773,1.593194,1.717303,1.562752,1.264879,1.479122,0.834197
2.5011,3.0964,1.3523,3.0613,3.7591,2.2725,0.92536,1.440102,0.911338,1.59085,1.714184,1.568274,1.280839,1.477565,0.860791
2.5036,3.0934,1.357,3.1034,3.7546,2.2917,1.013885,1.433312,0.971129,1.5952,1.718511,1.562539,1.279825,1.476404,0.850982
2.5045,3.09,1.3554,3.0644,3.7511,2.2929,0.918439,1.521433,0.924329,1.586381,1.715079,1.564312,1.277746,1.466742,0.84844
2.5004,3.0998,1.361,3.0614,3.7552,2.2767,0.900196,1.44845,0.926959,1.591624,1.711954,1.563842,1.262017,1.476089,0.858658
2.5005,3.098,1.3582,3.0814,3.7423,2.2786,0.909903,1.430612,0.904918,1.602817,1.711189,1.565489,1.281882,1.476975,0.825822
2.5044,3.0963,1.3559,3.0584,3.7686,2.2888,0.919567,1.478224,0.911711,1.591329,1.714558,1.561702,1.411338,1.474405,0.862639
2.5049,3.0992,1.3572,3.0872,3.7597,2.2757,0.906221,1.551136,0.921899,1.58821,1.716594,1.565157,1.259125,1.470742,0.831021
